C:\Cambridge\Election2019\Council\3 Final\Council Detail Report


November 15, 2019 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

CANDIDATES:
	Akiba, Sukia
	Azeem, Burhan
	Carlone, Dennis J.
	Franklin, Charles J.
	Kelley, Craig A.
	Kopon, Derek Andrew
	Levy, Ilan
	Mallon, Alanna M.
	McGovern, Marc C.
	McNary, Jeffery
	Mednick, Risa
	Moree, Gregg J.
	Musgrave, Adriane
	Nolan, Patricia M.
	Pitkin, John
	Siddiqui, Sumbul
	Simmons, E. Denise
	Simon, Ben
	Sobrinho-Wheeler, Jivan
	Toomey, Jr., Timothy J.
	Williams, Nicola A.
	Zondervan, Quinton Y.
	Write-In 1
	Write-In 2
	Write-In 3
	Write-In 4
	Write-In 5
	Write-In 6
	Write-In 7
	Write-In 8
	Write-In 9

ELECTION RULES:
               System:  Proportional Representation
           Quota Type:  Droop
    Surplus Transfers:  Random, every nth ballot (Cambridge style)
                        Avoid exhausted ballots if possible
                        Elected immediately (after the 1st count)
    Simultaneous Drop:  Those with less than 50 votes
                 Ties:  1) Previous Count method
                        2) By election official
                        3) Random (by computer)

--------------------------------------------------
21,239 valid ballots.
Electing 9 candidates.
Quota is 2124 votes.
There were 85 invalid ballots.
(21,324 total ballots processed.)
--------------------------------------------------



********************************************************************************


COUNT 1 -- Tally of 1st place votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Siddiqui, Sumbul                 +2516           2516  ELECTED -- 1st count
Simmons, E. Denise               +2007           2007  CONTINUING
Toomey, Jr., Timothy J.          +1729           1729  CONTINUING
Nolan, Patricia M.               +1685           1685  CONTINUING
McGovern, Marc C.                +1621           1621  CONTINUING
Carlone, Dennis J.               +1479           1479  CONTINUING
Kelley, Craig A.                 +1422           1422  CONTINUING
Zondervan, Quinton Y.            +1382           1382  CONTINUING
Sobrinho-Wheeler, Jivan          +1321           1321  CONTINUING
Mallon, Alanna M.                +1256           1256  CONTINUING
Azeem, Burhan                     +961            961  CONTINUING
Musgrave, Adriane                 +726            726  CONTINUING
Williams, Nicola A.               +631            631  CONTINUING
Pitkin, John                      +536            536  CONTINUING
Kopon, Derek Andrew               +493            493  CONTINUING
Akiba, Sukia                      +362            362  CONTINUING
Franklin, Charles J.              +323            323  CONTINUING
Simon, Ben                        +294            294  CONTINUING
Mednick, Risa                     +244            244  CONTINUING
Levy, Ilan                        +110            110  CONTINUING
McNary, Jeffery                    +77             77  CONTINUING
Moree, Gregg J.                    +47             47  CONTINUING
Write-In 1                         +17             17  CONTINUING
Write-In 2                           0              0  CONTINUING
Write-In 3                           0              0  CONTINUING
Write-In 4                           0              0  CONTINUING
Write-In 5                           0              0  CONTINUING
Write-In 6                           0              0  CONTINUING
Write-In 7                           0              0  CONTINUING
Write-In 8                           0              0  CONTINUING
Write-In 9                           0              0  CONTINUING

EXHAUSTED PILE:                      0              0  
TOTALS:                         +21239          21239  



-- Siddiqui, Sumbul has been ELECTED because s/he has met the quota.


********************************************************************************


COUNT 2 -- Siddiqui, Sumbul has been ELECTED -- transferring surplus votes.

CANDIDATE                   THIS COUNT          TOTAL  STATUS
-----------------------  -------------  -------------  ----------------------
Siddiqui, Sumbul                  -392           2124  ELECTED -- 1st count
Simmons, E. Denise                 +75           2082  CONTINUING
Toomey, Jr., Timothy J.            +15           1744  CONTINUING
Nolan, Patricia M.                 +15           1700  CONTINUING
McGovern, Marc C.                  +32           1653  CONTINUING
Carlone, Dennis J.                 +10           1489  CONTINUING
Kelley, Craig A.                   +12           1434  CONTINUING
Zondervan, Quinton Y.              +31           1413  CONTINUING
Sobrinho-Wheeler, Jivan            +32           1353  CONTINUING
Mallon, Alanna M.                  +74           1330  CONTINUING
Azeem, Burhan                      +34            995  CONTINUING
Musgrave, Adriane                  +21            747  CONTINUING
Williams, Nicola A.                 +7            638  CONTINUING
Pitkin, John                        +5            541  CONTINUING
Kopon, Derek Andrew                 +1            494  CONTINUING
Akiba, Sukia                        +7            369  CONTINUING
Franklin, Charles J.                +6            329  CONTINUING
Simon, Ben                          +6            300  CONTINUING
Mednick, Risa                       +8            252  CONTINUING
Levy, Ilan                          +1            111  CONTINUING
McNary, Jeffery                      0             77  CONTINUING
