C:\Cambridge\Election2019\Council\3 Final\Council Tabular Report (Delimited)
November 15, 2019 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

21,239 valid ballots.
Electing 9 candidates.
Quota is 2124 votes.
There were 85 invalid ballots.
(21,324 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|
Akiba, Sukia|362.0000000000|369.0000000000|371.0000000000|376.0000000000|384.0000000000|387.0000000000|398.0000000000|415.0000000000|0|0|0|0|0|0|0|DEFEATED -- 8th count
Azeem, Burhan|961.0000000000|995.0000000000|995.0000000000|998.0000000000|1000.0000000000|1011.0000000000|1021.0000000000|1052.0000000000|1128.0000000000|1146.0000000000|1163.0000000000|1216.0000000000|1342.0000000000|0|0|DEFEATED -- 13th count
Carlone, Dennis J.|1479.0000000000|1489.0000000000|1489.0000000000|1489.0000000000|1502.0000000000|1528.0000000000|1546.0000000000|1574.0000000000|1586.0000000000|1649.0000000000|1727.0000000000|1822.0000000000|1862.0000000000|1924.0000000000|2124.0000000000|ELECTED -- 15th count
Franklin, Charles J.|323.0000000000|329.0000000000|332.0000000000|337.0000000000|344.0000000000|349.0000000000|370.0000000000|0|0|0|0|0|0|0|0|DEFEATED -- 7th count
Kelley, Craig A.|1422.0000000000|1434.0000000000|1435.0000000000|1438.0000000000|1447.0000000000|1456.0000000000|1464.0000000000|1481.0000000000|1495.0000000000|1565.0000000000|1675.0000000000|1745.0000000000|1807.0000000000|1864.0000000000|0|DEFEATED -- 14th count
Kopon, Derek Andrew|493.0000000000|494.0000000000|497.0000000000|499.0000000000|511.0000000000|515.0000000000|520.0000000000|546.0000000000|559.0000000000|0|0|0|0|0|0|DEFEATED -- 9th count
Levy, Ilan|110.0000000000|111.0000000000|113.0000000000|117.0000000000|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 4th count
Mallon, Alanna M.|1256.0000000000|1330.0000000000|1331.0000000000|1334.0000000000|1338.0000000000|1363.0000000000|1376.0000000000|1395.0000000000|1455.0000000000|1475.0000000000|1500.0000000000|1552.0000000000|1772.0000000000|2124.0000000000|2124.0000000000|ELECTED -- 14th count
McGovern, Marc C.|1621.0000000000|1653.0000000000|1656.0000000000|1663.0000000000|1665.0000000000|1683.0000000000|1695.0000000000|1719.0000000000|1738.0000000000|1753.0000000000|1785.0000000000|1823.0000000000|1974.0000000000|2124.0000000000|2124.0000000000|ELECTED -- 14th count
McNary, Jeffery|77.0000000000|77.0000000000|80.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 3rd count
Mednick, Risa|244.0000000000|252.0000000000|252.0000000000|258.0000000000|260.0000000000|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 5th count
Moree, Gregg J.|47.0000000000|47.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Musgrave, Adriane|726.0000000000|747.0000000000|751.0000000000|756.0000000000|757.0000000000|786.0000000000|790.0000000000|813.0000000000|839.0000000000|864.0000000000|876.0000000000|911.0000000000|0|0|0|DEFEATED -- 12th count
Nolan, Patricia M.|1685.0000000000|1700.0000000000|1708.0000000000|1712.0000000000|1717.0000000000|1747.0000000000|1765.0000000000|1800.0000000000|1824.0000000000|1942.0000000000|2066.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|ELECTED -- 12th count
Pitkin, John|536.0000000000|541.0000000000|542.0000000000|545.0000000000|549.0000000000|562.0000000000|575.0000000000|585.0000000000|596.0000000000|694.0000000000|0|0|0|0|0|DEFEATED -- 10th count
Siddiqui, Sumbul|2516.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|ELECTED -- 1st count
Simmons, E. Denise|2007.0000000000|2082.0000000000|2087.0000000000|2094.0000000000|2098.0000000000|2118.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|2124.0000000000|ELECTED -- 7th count
Simon, Ben|294.0000000000|300.0000000000|303.0000000000|305.0000000000|310.0000000000|311.0000000000|0|0|0|0|0|0|0|0|0|DEFEATED -- 6th count
