# Final piles of ballots, sorted by candidate.
# Created Friday, November 15, 2019 6:09 PM


# This file can be used for auditing, or for filling mid-term vacancies
# in Cambridge.  To fill a vacancy, edit the line below that says,
# "# CAMBRIDGE-VACANCY-RECOUNT candidate-code".  Remove the '#', so
# that ChoicePlusr will process the line, and replace "candidate-code"
# with the candidate code for whom the ballots are to be recounted.
# Be sure to rename the file when saving it!  E.g. to "<Your Election
# Title> Recount Input.txt".



# The following lines are the configuration lines necessary for a Cambridge
# style recount.
.COMPLY-WITH CAMBRIDGE
.ELECT 1


# The Candidates:
.CANDIDATE C01, "Allen, Ruth Ryan"
.CANDIDATE C02, "Bowman, Manikka L."
.CANDIDATE C03, "Dawson, Bernette J."
.CANDIDATE C04, "Dexter, Emily"
.CANDIDATE C05, "Fantini, Alfred B."
.CANDIDATE C06, "Kadete, Elechi M."
.CANDIDATE C07, "Lim, Christopher"
.CANDIDATE C08, "Rojas Villarreal, Jose Luis"
.CANDIDATE C09, "Weinstein, David J."
.CANDIDATE C10, "Weinstein, Rachel B."
.CANDIDATE C11, "Wilson, Ayesha"
.CANDIDATE WI01, "Write-In 01"
.CANDIDATE WI02, "Write-In 02"
.CANDIDATE WI03, "Write-In 03"
.CANDIDATE WI04, "Write-In 04"
.CANDIDATE WI05, "Write-In 05"
.CANDIDATE WI06, "Write-In 06"

# The following lines exclude those candidates who
# were elected or excluded in the original election
# from participating in a future runoff.
.EXCLUDE-CANDIDATE C02
.EXCLUDE-CANDIDATE C04
.EXCLUDE-CANDIDATE C05
.EXCLUDE-CANDIDATE C08
.EXCLUDE-CANDIDATE C10
.EXCLUDE-CANDIDATE C11

# ******* The following line must be edited for a Cambridge recount! *******
#.CAMBRIDGE-VACANCY-RECOUNT candidate-code

# Suppose that Joe Smith resigned mid-term, and Karen Jones was elected
# to fill that seat.  But then Karen Jones also resigned!  You can rerun
# the same recount, but specify that Karen Jones is excluded.
#.EXCLUDE-CANDIDATE candidate-code

# This specifies the format for the ballots
.BALLOT-FORMAT-FIELDS BALLOT-ID-ALPHA BALLOT-VALUE RANKINGS-ALPHA

# Ballots for candidate C01 ("Allen, Ruth Ryan")
# (Candidate has no ballots in his/her pile.)

# Ballots for candidate C02 ("Bowman, Manikka L.")
# Candidate has 2,776 ballots in his/her pile.
.FINAL-PILE C02
000201-00-00040000006037, 1) C02,C04,C05,C07
000201-00-00040000072719, 1) C02
000201-00-00040000076580, 1) C02,C09
000201-00-00040000081195, 1) C02,C04,C05,C08,C11
000201-00-00040000082013, 1) C02,C04,C05
000201-00-00040000109720, 1) C02,C11,C03
000201-00-00040000112135, 1) C02,C04,C05
000201-00-00040000116546, 1) C02,C01
000201-00-00040000162663, 1) C02,C06,C05,C11,C08,C04,C07
000201-00-00040000178966, 1) C02,C10
000201-00-00040000184736, 1) C02,C04,C01,C03,C10,C11,C08,C06,C07,C05,C09
000201-00-00040000228525, 1) C02
000201-00-00040000236683, 1) C02,C04,C05
000201-00-00040000255315, 1) C02,C01,C06,C04,C05,C07,C08,C09,C10,C11,C03
000201-00-00040000262182, 1) C02,C10,C04
000201-00-00040000303574, 1) C02,C05,C11,C08
000201-00-00040000304011, 1) C02,C06,C04
000201-00-00040000309900, 1) C02,C03,C04,C07,C09,C11,C08
000201-00-00040000311759, 1) C02,C03,C05,C04,C06,C09
000201-00-00040000315788, 1) C02,C11,C04
000201-00-00040000332017, 1) C02,C03,C09,C11,C01,C10,C05
000201-00-00040000345725, 1) C02,C11,C04
000201-00-00040000369846, 1) C02,C03,C11,C06,C07,C08
000201-00-00040000370298, 1) C02,C01,C03,C10,C06,C11
000201-00-00040000374605, 1) C02,C04,C05
000201-00-00040000375504, 1) C02,C06,C03,C08,C11,C04
000201-00-00040000376727, 1) C02,C04,C05,C03,C11,C01,C10,C09,C08,C07,C06
000201-00-00040000378347, 1) C02
000201-00-00040000385803, 1) C02,C11,C06,C07,C08,C04,C05,C10,C01,C03
000201-00-00040000438761, 1) C02
000201-00-00040000452317, 1) C02,C04,C05,C11,C06
000201-00-00040000459787, 1) C02,C04,C11
000201-00-00040000470835, 1) C02,C08
000201-00-00040000475303, 1) C02,C04,C05,C09,C06,C07,C08,C01,C10,C11
000201-00-00040000481472, 1) C02,C04,C05,C10,C09,C07,C11,C06
000201-00-00040000486225, 1) C02,C04,C05,C11,C10,C06,C07,C03,C09,C08,C01
000201-00-00040000548804, 1) C02,C05
000201-00-00040000554464, 1) C02,C05,C08,C07
000201-00-00040000557700, 1) C02,C06,C08,C10,C04,C05
000201-00-00040000560595, 1) C02,C04,C05
000201-00-00040000571092, 1) C02
