C:\Cambridge\Election2019\School\3 Final\School Transfer Report


*** COUNT 2 ***

   000201-00-00040000130792:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000201-00-00040000284559:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000352592:  Bowman, Manikka L. --> Kadete, Elechi M.
   000201-00-00040000394361:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000491022:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000608954:  Bowman, Manikka L. --> Wilson, Ayesha
   000201-00-00040000715426:  Bowman, Manikka L. --> Fantini, Alfred B.
   000201-00-00040000810591:  Bowman, Manikka L. --> Lim, Christopher
   000201-00-00040000917413:  Bowman, Manikka L. --> Wilson, Ayesha
   000602-00-00180000009510:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000602-00-00180000096209:  Bowman, Manikka L. --> Fantini, Alfred B.
   000602-00-00180000195122:  Bowman, Manikka L. --> Wilson, Ayesha
   000602-00-00180000289652:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000602-00-00180000359527:  Bowman, Manikka L. --> Wilson, Ayesha
   000602-00-00180000462533:  Bowman, Manikka L. --> Fantini, Alfred B.
   000602-00-00180000533231:  Bowman, Manikka L. --> Lim, Christopher
   000602-00-00180000608083:  Bowman, Manikka L. --> Fantini, Alfred B.
   000602-00-00180000696200:  Bowman, Manikka L. --> Dawson, Bernette J.
   000602-00-00180000752629:  Bowman, Manikka L. --> Wilson, Ayesha
   000602-00-00180000883282:  Bowman, Manikka L. --> Rojas Villarreal, Jose Luis
   000602-00-00180000946209:  Bowman, Manikka L. --> Wilson, Ayesha
   000602-00-00520000308233:  Bowman, Manikka L. --> Fantini, Alfred B.
   000901-00-00260000148130:  Bowman, Manikka L. --> Dawson, Bernette J.
   000901-00-00260000283287:  Bowman, Manikka L. --> Kadete, Elechi M.
   000901-00-00260000456991:  Bowman, Manikka L. --> Fantini, Alfred B.
   000901-00-00260000606183:  Bowman, Manikka L. --> Fantini, Alfred B.
   000901-00-00260000848139:  Bowman, Manikka L. --> Dawson, Bernette J.
   000901-00-00620000940485:  Bowman, Manikka L. --> Lim, Christopher
   000901-00-09120000082371:  Bowman, Manikka L. --> Weinstein, Rachel B.
   000901-00-09120000246551:  Bowman, Manikka L. --> Fantini, Alfred B.
   000901-00-09120000421922:  Bowman, Manikka L. --> Kadete, Elechi M.
   000901-00-09120000704785:  Bowman, Manikka L. --> Fantini, Alfred B.
   000901-00-09120000880677:  Bowman, Manikka L. --> Fantini, Alfred B.
   000701-00-00200000026554:  Bowman, Manikka L. --> Fantini, Alfred B.
